indentation	style_name	style_description
;;;;;	Brazilian Phonk 	Merges Funk automotivo's rhythms, vocals, and energy, with the energetic and nocturnal production typical of the Drift Phonk scene, and Phonk House.
;;;;;	Funk automotivo 	Catchy, repetitive synths accompanied by a strong four-on-the-floor kick and loud, reverberated vocals.
;;;;;	Ritmada 	Short, repetitive and resonant beats with more danceable, immersive grooves drawn out of Afro-Brazilian instrumentation, a cleaner, more radio-friendly sound and greater focus on lyrics.
;;;;	Funk melody 	Light and melodic take on Funk brasileiro, developed alongside Funk carioca.
;;;;	Funknejo 	Incorporates the rhythms, production, and idioms of Funk brasileiro into the universitário genre.
;;;;	Funk ostentação 	Late 2000s take on&nbsp;Funk brasileiro&nbsp;from São Paulo state, featuring Pop Rap influences, having a more accessible sound.
;;;;	Mega funk 	Blends funk vocal performances with production derived from mainstage 2010s House genres like Brazilian Bass and Slap House.
;;;;	Noiadance 	Blends Dutch House production with Funk brasileiro vocals and drumming on top of Moombahton rhythms.
;;;;	Rasteirinha 	Slow-paced, highly rhythmic with instrumentation derived from Samba and Axé, and Dancehall-inspired grooves.
;;;;	Tecnofunk 	Raw and vulgar Tecnobrega and Funk brasileiro fusion developed in the late 2010s by DJs in Belém do Pará.
;;;;	Trapfunk 	Heavy beats and prominent bass, common in Trap, along with the energy and fast-paced funk rhythm.
;;;	MPB 	Short for música popular brasileira; formed in the mid-1960s as a modernized version of Bossa nova and Samba-canção.
;;;;	Tropicália 	Brazilian counterculture art movement started in 1967 blending Psychedelic Rock, Psychedelic Pop, and Experimental production with contemporary Brazilian pop, with the lyrics being left wing-tinted abstract poetry.
;;;	Northeastern Brazilian Music 	Regional styles that combines elements of indigenous, African and European traditions, historically with a focus on life of the northeastern people, such as drought, migration, the struggle for survival, love and nostalgia, and often danced in intense and accelerated movements.
;;;;	Aboio 	Cattle-herding songs originating in rural Northeastern Brazil.
;;;;;	Aboio cantado 	Aboio that features rhyming verses.
;;;;	Afoxé 	Afro-Brazilian genre originating in the states of Pernambuco and Bahia, characterized by the ijexá rhythm invented by the Yoruba people.
;;;;	Arrocha 	Influenced by Brega's romantic style, with further influence from Axé and Forró, giving it a more sensual and euphoric feel.
;;;;;	Arrochadeira 	Developed in the mid-2000s in Bahia by Dan Ventura, merges the electronic keyboards of Arrocha with Pagodão rhythms.
;;;;;	Bregadeira 	Fuses contemporary rhythms from the Brazilian Northeast such as Arrocha, Pagodão and Piseiro, with the electronic beats of Funk brasileiro and its subgenres.
;;;;	Axé 	Developed from a fusion of Frevo, Maracatu, Forró, Reggae and Calypso with roots in the Salvador de Bahia carnival.
;;;;;	Pagodão 	Predominance of guitar riffs, atabaques, pandeiros and drums.
;;;;;;	Arrochadeira 	Developed in the mid-2000s in Bahia by Dan Ventura, merges the electronic keyboards of Arrocha with Pagodão rhythms.
;;;;;	Samba-reggae 	Percussion-focused style from Bahia, Brazil, originating in the 1980s and 1990s in the Bahian carnival's afro-blocos.
;;;;	Baião 	Commonly performed with accordions and violas caipiras, and often accompanied by agogô and triangle.
;;;;	Banda de pífano 	Lively music played by bands consisting of two fifes and percussion.
;;;;	Brega funk 	Rooted in Tecnobrega, features glossy syncopated MIDI pianos and synths, distinct pitched metallic snares and vocal chops over a wonky kick rhythm.
;;;;;	Batidão romântico 	Slower and romantic Kizomba-fused beats.
;;;;	Cantoria 	Sung poetry of itinerant cantadores from Northeastern Brazil.
;;;;;	Repente 	Contest of fully improvised poetry sung in different stanza formats.
;;;;	Coco 	Performers usually gather in a circle which rounds the dancers, clapping and spinning according to the rhythm; influenced by cultures originating from Africa, conceived in Northeastern Brazil.
;;;;;	Ciranda 	Employs a metrical scheme of quatrains, long verses, and slow pace, with lyrical themes generally limited to love.
;;;;;	Embolada 	Focuses on the prosody of singers, who speak-sing improvised or written stanzas in fast tempos in 2/4 time, accompanied by sparse percussion.
;;;;	Forró 	Developed from Baião and the dance rhythms quadrilha and xaxado, along with influences of European Folk Music like chula and schottische (Xote).
;;;;;	Forró eletrônico 	Uses electronic elements through the inclusion of keyboards, bass, and electric guitar.
;;;;;;	Forró de favela 	Originating from the outskirts of Fortaleza, with MPB-influenced lyrics and a calmer and more romantic sound.
;;;;;;	Piseiro 	Originated in the interior of northeast Brazil in the 2000s, characterized by the combination of electronic keyboards with vocal harmonization; typically considered a homemade style of Forró eletrônico.
;;;;;	Forró universitário 	Originated in the 1990s from university students in the state of São Paulo with influences from genres like Rock, Reggae, and Funk.
;;;;	Frevo 	Played in a very fast, binary tempo; originated in 1910 on the streets of the northeastern Brazilian city of Recife.
;;;;;	Frevo-canção 	Versatile vocal form featuring fast tempos and Frevo de rua instrumentation.
;;;;;	Frevo de bloco 	Slow, nostalgic form, meant to be sung by women’s choruses accompanied by orchestras featuring strings besides the usual brasses and reeds.
;;;;;	Frevo de rua 	Earliest form, purely instrumental, fast-paced, and meant to be danced in the streets.
;;;;	Manguebeat 	Counterculture fusion of traditional Northeastern Brazilian Music genres with modern Rock and Hip Hop.
;;;;	Maracatu 	Afro-Brazilian genre which accompanies the cultural manifestation of the same name, hailing from the northeastern state of Pernambuco.
;;;;	Samba de roda 	Mixed Portuguese culture with African slave traditions, as well as sharing roots and similarities with Batuque and Jongo.
;;;;	Udigrudi 	Movement that emerged in the Brazilian city of Recife during the 1970s that combines psychedelic elements with music of Northeastern Brazil.
;;;;	Unakesa 	Lay song and dance of the Fulni-ô people.
;;;;	Xaxado 	Features a strong rhythmic beat, sliding tap dances, and stories of backland bandits.
;;;	Northern Brazilian Music 	Regional styles rooted in Northern Brazil, often influenced by Caribbean rhythms and instrumentations, usually with focus on romance, celebrations, the relationship between the man and the Amazon rainforest, and danced in fast and sensual movements.
;;;;	Brega calypso 	Romantic vocals and lyrics, bubbly and sensual melodies and rhythms, horn sections and lush Caribbean-like guitar riffs over fast tempos.
;;;;	Carimbó 	Originated in rural areas in the state of Pará, danced frenetically to the beat of syncopated drums, with international recognition after its modernization.
;;;;	Lambada 	Agitated and sensual, with rhythms and sounds drawn from Carimbó, Cumbia and Forró, and dance moves inherited from Maxixe and Merengue.
;;;;;	Guitarrada 	Melodic and usually instrumental approach, centered around the electric guitar.
;;;;	Tecnobrega 	Fast and electronic-based style that evolved from Brega calypso, particularly associated with peripheral areas of the city of Belém.
;;;;;	Tecnofunk 	Raw and vulgar Tecnobrega and Funk brasileiro fusion developed in the late 2010s by DJs in Belém do Pará.
;;;	Rock rural 	Brazilian Folk Rock that emerged in the 1970s, incorporating elements of Sertanejo, Country Rock, and MPB.
;;;	Samba 	Originated in the 19th century from a blend of various rhythmic styles of African Music, forming a new sound, structure, and a dance of the same name.
;;;;	Batucada 	Heavily percussive and polyrhythmic Samba.
;;;;	Bossa nova 	Conceived as a new style to perform original Samba, with major American Jazz influences.
;;;;	Marchinha 	Originating from Portuguese popular street marches (marchas populares), featuring simple, joyful melodies and sometimes malicious lyrics.
;;;;	Pagode 	Used for Samba groups whose music was performed in the suburban Cariocas parties, with romantic lyrical content and improvisation.
;;;;;	Pagodão 	Predominance of guitar riffs, atabaques, pandeiros and drums.
;;;;;;	Arrochadeira 	Developed in the mid-2000s in Bahia by Dan Ventura, merges the electronic keyboards of Arrocha with Pagodão rhythms.
;;;;;	Pagode romântico 	Overly romantic lyrics and Pop overtones, with the addition of mainstream instruments like the prominent employment of bass, synths and drumkit alongside the traditional tantã, repique de mão and banjo.
;;;;	Partido alto 	Originating from the early roots of Samba primarily in Rio de Janeiro in the beginning of the 20th century, initially as a more danceable style with little or no vocals.
;;;;	Samba-canção 	Romantic, commercial form of Samba that was popular in Brazil between the 1930s and the 1950s.
;;;;	Samba-choro 	Emerged in the 1930s as the result of a fusion of rhythmic elements and combining Samba with Choro.
;;;;	Samba de breque 	Development of Samba-choro characterized by sudden pauses in its syncopated rhythms.
;;;;	Samba de gafieira 	Emerged in the 1930s, with the influence of Choro, Maxixe, Lundu, and Big Band from the the United States.
;;;;	Samba de roda 	Mixed Portuguese culture with African slave traditions, as well as sharing roots and similarities with Batuque and Jongo.
;;;;	Samba de terreiro 	Urban Samba from the samba schools of Rio de Janeiro, with short songs about everyday topics and love.
;;;;	Samba-enredo 	Developed in the 1930s in Brazilian samba schools (escola de samba) to be presented and performed at carnivals.
;;;;	Samba-exaltação 	Developed in the early forties, with lyrics mainly exalting the culture of Brazil.
;;;;	Samba-jazz 	Jazz genre from Brazil that incorporates Samba and/or Bossa nova elements.
;;;;	Samba-joia 	Emerged in the 1970s, featuring a strong influence from Bolero along with overly romantic lyrics.
;;;;	Sambalanço 	Popular genre in Brazil during the 1950s and 1960s, with influence of Samba and Jazz.
;;;;	Samba-rock 	Blends Samba with influences from American genres such as Rock, Jazz and Soul.
;;;;;	Samba Soul 	Brazilian genre developed in late 1960s and very successful in early 1970s with the popularization of Soul and Funk in Brazil plus a mixing of Samba-rock elements.
;;;	Sertanejo 	Acoustic guitar-based and originated from the rural parts of Brazilian Center-South region.
;;;;	Rasqueado 	Regional dance and its accompanying music from the Brazilian midwest, predominantly the state of Mato Grosso.
;;;;	Sertanejo de raiz 	Earliest form of Sertanejo, emerging in pre-World War II rural Brazil during the late 1920s; quickly strummed acoustic guitars, most commonly the 10-string viola caipira and classical guitar, and a highly emotive vocal style.
;;;;;	Moda de viola 	Style of Sertanejo de raiz predominant in southeast, south, and west-central Brazil.
;;;;	Sertanejo romântico 	Electric instrumentation and romantic lyrics, made popular nationwide during the mid-to-late 1980s.
;;;;	Sertanejo universitário 	Modernized style combining rural themes and acoustic instrumentation with commercial production and Electronic instrumentation.
;;;;;	Arrocha sertanejo 	Merged the Arrocha style with the younger audience creating a more energetic and more danceable rhythm.
;;;;;	Funknejo 	Incorporates the rhythms, production, and idioms of Funk brasileiro into the universitário genre.
;;;	Southeastern Brazilian Music 	Regional styles of diverse cultural expressions rooted in Southeastern Brazil that combine elements of African Music and European Music.
;;;;	Choro 	Brazilian urban genre named after the crying-like harmony generated by the very particular group of instruments used to play it: seven-string acoustic guitar, mandolin, flute, cavaquinho, and pandeiro.
;;;;;	Samba-choro 	Emerged in the 1930s as the result of a fusion of rhythmic elements and combining Samba with Choro.
;;;;	Jongo 	Afro-Brazilian cultural manifestation involving music and dance; composed of percussion instruments and chants.
;;;;;	Ponto de umbanda 	Afro-Brazilian religious ritualistic praise sung by priests to evoke entities; typically accompanied by claps and traditional drums known as atabaque.
;;;;	Marchinha 	Originating from Portuguese popular street marches (marchas populares), featuring simple, joyful melodies and sometimes malicious lyrics.
;;;;	Maxixe 	Appeared in Rio de Janeiro at the end of the 19th century, compared with and influenced by Tango.
;;;;	Pagode 	Used for Samba groups whose music was performed in the suburban Cariocas parties, with romantic lyrical content and improvisation.
;;;;;	Pagodão 	Predominance of guitar riffs, atabaques, pandeiros and drums.
;;;;;;	Arrochadeira 	Developed in the mid-2000s in Bahia by Dan Ventura, merges the electronic keyboards of Arrocha with Pagodão rhythms.
;;;;;	Pagode romântico 	Overly romantic lyrics and Pop overtones, with the addition of mainstream instruments like the prominent employment of bass, synths and drumkit alongside the traditional tantã, repique de mão and banjo.
;;;;	Partido alto 	Originating from the early roots of Samba primarily in Rio de Janeiro in the beginning of the 20th century, initially as a more danceable style with little or no vocals.
;;;;	Samba de breque 	Development of Samba-choro characterized by sudden pauses in its syncopated rhythms.
;;;;	Samba de gafieira 	Emerged in the 1930s, with the influence of Choro, Maxixe, Lundu, and Big Band from the the United States.
;;;;	Samba de terreiro 	Urban Samba from the samba schools of Rio de Janeiro, with short songs about everyday topics and love.
;;;;	Samba-enredo 	Developed in the 1930s in Brazilian samba schools (escola de samba) to be presented and performed at carnivals.
;;;;	Tamborzão 	Adds Afro-Brazilian percussive elements such as the atabaque sound into the Miami Bass kick drums.
;;;	Southern Brazilian Music 	Traditional music originating from Southern Brazil.
;;;;	Bandinha 	Popular style of music from the Southern region of Brazil. Borrows elements from German Folk Music, Sertanejo romântico and Brega.
;;;;	Música gaúcha 	Popular music style of southern Brazil, based on the traditional Polka and other European rhythms.
;;;;;	Vanera 	Typical dance style music from Rio Grande do Sul in Brazil, and very present in the states of Paraná and Santa Catarina.
;;;	Xote 	Slow and danceable Brazilian rhythm.
;;	Bullerengue 	Afro-Colombian popular genre which features a strong emphasis on rhythm and improvisation and a call-and-response format.
;;	Calipso venezolano 	Derived from Trinidadian Calypso, popular in the eastern region of Venezuela and associated with Carnival.
;;	Caporal 	Bolivian neofolkloric dance music characterized by a double beat bass drum pattern that emerged in the latter half of the twentieth century.
;;	Carnaval cruceño 	Danceable genre, similar to the Polka, from the city of Santa Cruz, Bolivia, characteristic of the area’s Carnival celebrations and generally composed for brass band musicians.
;;	Carranga 	Colombian folk music that originated in Boyacá province, best known for its wordplay and humorous lyrics.
;;	Chacarera 	Originated in northwest Argentina and southern Bolivia around 1850, typically in 6/8 and traditionally performed with instruments like the guitar, bombo legüero (traditional drum), and violin.
;;	Chamamé 	Mixes native Guaraní music with Polka paraguaya and European schottische music.
;;	Champeta 	Colombian genre heavily influenced by the traditional music of San Basilio de Palenque as well as modern Caribbean and African sensibilities.
;;	Chilean Music 	Music developed by the Chilean people.
;;;	Canto a lo poeta 	Sung poetry traditional to Chile and transmitted orally from one generation to another.
;;;	Chilote Music 	Music of the Chiloé Archipelago.
;;;	Cumbia chilena 	Incorporates Chilean Music into the traditional sound of Cumbia.
;;;;	Nueva cumbia chilena 	Rock-infused instrumentation, incorporating an eclectic repertoire of influences, such as Ska, Salsa, Indigenous Andean Music, Reggae, and Bolero.
;;;	Jazz guachaca 	Encompasses Jazz influences with Hispanic American Music styles such as Cueca, Bolero, Tango and Corrido.
;;;	Mambo chileno 	Emerged in the early 2010s in Chile, characterized by upbeat rhythms and rapping, usually on topics of parties, dancing, and urban life.
;;;	Música cebolla 	Chilean offshoot of Canción melódica that expresses a much more melancholic or nostalgic side.
;;;	Música típica chilena 	Incorporation of rural folklore music to urban fields, adding vocal groups accompanied mainly by guitar and a "huaso" symbolism.
;;;;	Neofolklore 	Short-lived movement that reincorporated traditional Chilean folklore into modern production and styling inspired by foreign musicians.
;;;	Nueva canción chilena 	Socially conscious style that sought to recover traditional Chilean folk music and fuse it with the broader musical trends of Latin America.
;;;	Tonada chilena 	Traditional folk from the Chilean countryside distinguished by its prominent melody.
;;	Chuntunqui romántico 	Vibrant Bolivian genre set in 6/8 meter featuring choral refrains, harmonic progressions, and lyrics exploring the subject of romantic love.
;;	Conjunto andino 	Urban folk ensembles using musical instruments of Andean Indigenous origin or association; despite frequent association with Indigenous villages, they bear little resemblance to the Indigenous expressions of the Southern Andes.
;;	Cueca 	Popular in Chile, Argentina, and Bolivia, accompanied by a 6/8 or 3/4 time signature and usually structured into 14 verses.
;;	Cumbia colombiana 	Style that incorporates elements of Colombian traditional music, which includes and keeps influences from Spanish, African, and Indigenous cultures.
;;	Currulao 	Pacific coast Afro-Colombian music and folk dance performed by a marimba/percussion ensemble with heavy use of call-and-response vocals.
;;	Gaita zuliana 	Emerged in the state of Zulia in the 1950s, merging Spanish Folk Music and Venezuelan Christmas carols.
;;	Guarania 	Slow and melancholic rhythms, primarily performed on the Paraguayan harp.
;;	Indigenous Andean Music 	Diverse styles and genres developed by the indigenous peoples of the Andes.
;;;	Baguala 	Slow, triple-meter form of traditional Indigenous Andean Music originally performed by Diaguita people in present-day North-Western Argentina.
;;;	Harawi 	Repeating phrases of sung poetry dealing with emotional topics.
;;;	Huayno 	Andean dance music that incorporates both pre-Hispanic and Western musical elements.
;;;;	Bolivian Huayño 	One of the most popular genres of Andean music in Bolivia, particularly present in the departments of Cochabamba, Chuquisaca, La Paz, Oruro and Potosí.
;;;;	Carnavalito 	Fast and lively; mostly played in northwestern Argentina in the provinces of Jujuy, Salta, and Tucumán.
;;;	Morenada 	Vibrant and culturally significant music originating in Bolivia and characterized by the sound of the matraca and a marked and rigid duple meter with a slow march-like tempo.
;;;	Tonada potosina 	Traditional folk sung in Quechua, played on charangos and guitarillas, with a catchy, lively rhythm.
;;	Joropo 	Incorporates elements of Creole music and the Venezuelan waltz.
;;	Kaseko 	Surinamese popular music with roots in Surinamese Creole music, which was influenced by folk traditions of Africa, Europe, and the Americas.
;;	Malagueña venezolana 	Traditional musical accompaniment to the Venezuelan 'velorios de cruz de mayo' celebrations, played with the mandolin (as lead instrument), cuatro and guitar.
;;	Mapuche Folk Music 	Traditional Folk Music of the Mapuche people of Chile and Argentina.
;;	Muliza 	Mestizo folk genre popular in the central Peruvian Andes, characterized by a pronounced, though sedate, rhythm; traces of Andean melody; and octosyllabic verses.
;;	Música llanera 	Traditional music originating from the Llanos region of Colombia and Venezuela.
;;	Onda nueva 	Based on Joropo, it incorporates elements of Bossa nova and Jazz.
;;	Pasillo 	Traditional dance popular in Ecuador and Colombia; based on European Waltz and often performed with guitar and mandolin.
;;	Payada 	Improvised poetry accompanied by a guitar that is tied to gaucho culture, usually performed in duo as a verse duel.
;;	Peruvian Music 	Music developed by the Peruvian people.
;;;	Cumbia peruana 	Developed in Peru and diversified into various subgenres, each with its own regional influences.
;;;;	Cumbia amazónica 	Mixes Cumbia peruana with selvatic dances, Afro-Latin rhythms, Surf Rock, and Psychedelic Rock between the 1960s and 1980s.
;;;;	Cumbia norteña peruana 	Developed on the Peruvian coast, with influences from Cumbia colombiana and cumbia ecuatoriana and lyrics mostly about love and heartbreak.
;;;	Música criolla peruana 	Combination of African, Spanish, and Andean influences that originated after the time of the arrival of Spanish colonists and African slaves to Peru.
;;;;	Festejo 	Happy and danceable Afro-Peruvian rhythm originating in the 17th century.
;;;;	Marinera 	Component of the coastal dance of the same name, often considered the national dance of Peru.
;;;;	Tondero 	Backing to the fast-paced dance that originated in northern Peru in the region of Piura of the same name; bands consist of a singer, a small chorus, two guitarists, along with the cajón and sometimes a spoon player.
;;;;	Vals criollo 	Originally characterized by its 3/4 time, heavy reliance on strongly plucked phrase on upper strings, and its guitar solo; often accompanied by a duet or a solo singer, normally singing about patriotic themes or social dilemmas.
;;	Polka paraguaya 	Popular music originating in Paraguay and the Province of Corrientes (Argentina), derived from the Bohemian polka and traditional music of Hispanic-Jesuit origin.
;;	Porro 	Lively Hispanic American Music and dance style native to Colombia which gained popularity in the 1940s.
;;	Rioplatense Music 	Music developed by the people of the Rio de la Plata region.
;;;	Candombe 	Uruguayan popular music originating among Montevideo's Afro-Uruguayan population, based on three differently-sized drums.
;;;	Candombe beat 	Fusion of Uruguayan Candombe with elements of Rock music.
;;;	Chamarrita rioplatense 	Traditional genre and dance featuring similar rhythms to Milonga and typically performed with the guitar and accordion.
;;;	Cumbia pop 	Developed in the Río de la Plata region in the mid-2010s, featuring Latin Pop influences and lyrics related to romance, youth, and fun.
;;;	Electrotango 	Combines Tango rhythms and melodies with Electronic music.
;;;	Milonga 	Characterized by a slow rhythm usually performed on a guitar; generally considered a precursor to Tango.
;;;	Murga uruguaya 	Variant originated in Montevideo that stands out for its rhythms, nasal vocals and choral arrangements.
;;;	Tango 	Melancholic sound generally led by a guitar or bandoneon, originating in Buenos Aires by the late 19th century and gaining worldwide popularity from the 1920s to the 1950s.
;;;;	Finnish Tango 	Melancholic style developed in Finland in the 1930s and 1940s, influenced by traditional minor-key Finnish Folk Music melodies and the rhythms of German marches.
;;;;	Tango nuevo 	Adds new elements into traditional Argentine Tango, most importantly the incorporation of Jazz and Western Classical Music.
;;	Rock andino 	Emerged in the Andean countries in the late 1960s and early 1970s, incorporating traditional instruments and harmonies from Indigenous Andean Music within a Rock format.
;;	Salsa choke 	Colombian style that takes heavy influence from Reggaetón, House, Hip Hop, and various Afro-Colombian and Colombian Pacific styles.
;;	Saya 	Fast-paced, percussive traditional genre created by the Afro-Bolivian people.
;;	Taquirari 	Developed by the indigenous peoples of eastern Bolivia, bringing in some elements of Hispanic Music, and featuring a syncopated rhythm.
;;	Tecnomerengue 	Fuses basic Merengue rhythms with influences from Cumbia and Lambada, being largely synthesized, with live instruments usually limited to percussion and brass.
;;	Vallenato 	Accordion-led style of folk and popular music originating in Colombia's Caribbean region.
;;	Vals venezolano 	Venezuelan dance music that employs heavy use of syncopation, complex rhythms, and regional instruments.
;;	Yaraví 	Peruvian criollo-mestizo songs with recurring themes of sadness and unrequited love, usually in 6/8 meter.
;;	Zamacueca 	Traditional genre and dance of 19th century Peru, sung in the minor mode and accompanied by a varying combination of guitar, vihuela, harp and cajón.
;;	Zamba 	Folk dance that evolved out of Peruvian Zamacueca during the 19th century.
;	Sufi Music 	Covering the various musical traditions of Sufis.
;;	Banga 	Sufi ritual trance music of southern Tunisia performed by Black communities.
;;	Kafi 	Sufi vocal style popular in Pakistan, differentiated from Qawwali by its small ensemble size and simple arrangements.
;;	Manzuma 	Melodic, devotional music performed by Sufi Islami communities in Ethiopia and neighboring countries
;;	Qawwali 	Sufi Music in India and Pakistan using the raga and tala templates of Hindustani Classical Music.
;;	Rapai dabõih 	Religious music meant to accompany the dabõih ceremony of the Acehnese people.
;;	Sufiana kalam 	Classical music from Kashmir, the northernmost part of the Indian subcontinent.
;;	Sufi Rock 	Pakistani subgenre rooted in Sufi tradition, featuring South Asian instruments like the dhol, tabla, and sitar within a Rock band format with lyrics and imagery inspired by traditional Sufi poets.
;;	Turkish Mevlevi Music 	Traditional music performed among Turkish practitioners of the Mevlevi order of Sufism.
;	Traditional Folk Music 	Informed by a long history of tradition in a specific culture or region, mostly associated with the peasantry and non-aristocratic public.
;;	African Folk Music 	Indigenous music of Africa that is passed down orally from generation to generation, the authors of the songs are usually unknown.
;;;	Ambasse bey 	African Folk Music developed by the Yabassi people of Cameroon.
;;;	Apala 	Yoruba Music developed by Muslims during the late 1930s and early 1940s in the Ijebu region of Yorubaland, the current Ogun state.
;;;	Batuque 	Tradition from Cape Verde, unusual among the islands' music due to its lack of polyphonic singing and its usage of polyrhythms.
;;;	Dagomba Music 	Music of the Dagomba people of northern Ghana.
;;;	Gnawa 	Mixture of Sub-Saharan African, Arabic, and Amazigh Music, created by the Gnawa, an ethnic minority group in North Africa, mainly Morocco.
;;;	Kabye Folk Music 	Traditional Folk Music of the Kabye people of northern Togo, including some of the most singular styles that can be found in West Africa.
;;;	Kilapanga 	Tradition of the Bakongo people from Angola and Congo that has influenced contemporary styles such as Kuduro.
;;;	Malagasy Folk Music 	Melodic, chordophone-dominated sound; based on the Austronesian Music of the first settlers that arrived on the island from Borneo.
;;;	Mbenga-Mbuti Music 	Music of the Mbenga and Mbuti people, Pygmy ethnic groups in Central Africa.
;;;	Moutya 	Tradition that originated in Seychelles among Creole slaves, similar to Séga, although rawer and played only on large flat drums made from goatskin.
;;;	Ngoma 	Played in Swahili-speaking African countries; primarily focused on rhythm.
;;;;	Unyago 	Traditional music from Zanzibar, traditionally played at women's initiation rituals and weddings.
;;;	Southern African Folk Music 	Traditional Folk Music of southern Africa.
;;;;	Afrikaner Folk Music 	Musical traditions developed by the Afrikaner community in southern Africa.
;;;;	Khoisan Folk Music 	Encompasses traditions of the Khoisan ethnic family groups.
;;;;	Nguni Folk Music 	Traditions of the Nguni ethnic family groups, a southern Bantu ethnicity.
;;;;	Shona Mbira Music 	Traditional style of the Shona people from Zimbabwe, based on a simple melodic pattern played on the mbira, from which long instrumental parts are improvised.
;;;;	Sotho-Tswana Folk Music 	Traditional Folk Music of the Sotho-Tswana ethnic family groups from southern Africa.
;;;	Tchinkoumé 	Tradition from the central region of Benin around Savalou, played with water percussion.
;;;	Traditional Maloya 	Derived from Traditional Séga, this is the original dance music of La Réunion.
;;;	Traditional Séga 	Séga dance music born in the 18th century, before its later adoption of Western pop elements.
;;;	Zinli 	Traditional rhythmic chanting and percussion adapted to multiple West African contexts in the 20th century.
;;	American Folk Music 	Traces back through the history of European and West African settlement and migration to North America, including parts of northern Mexico and Canada in addition to the United States.
;;;	Appalachian Folk Music 	Folk of the Appalachian Mountains in the Eastern United States.
;;;;	Old-Time 	Pre-Bluegrass North American string band styles, particularly those rooted in Appalachian Folk Music.
;;;	Country Blues 	Various styles of Blues originating in the rural US South, typically relying on expressive vocal delivery and featuring simple, usually acoustic instrumentation.
;;;;	Acoustic Texas Blues 	Laid-back swing rhythms and guitar ornamentation, including solos.
;;;;	Delta Blues 	One of the earliest forms of Blues, named for the Mississippi Delta region of the United States where it developed, with a highly rhythmic style and a typical 12-bar structure.
;;;;	Hill Country Blues 	Emphasizes a steady hypnotic groove, sparse percussive and highly energetic guitar riffs, and often features meandering structures with unconventional and usually fewer chord changes compared to Delta Blues.
;;;;	Piedmont Blues 	Developed in the early 20th century in the southern Appalachian foothills and characterized by a syncopated but melodic Ragtime-based finger-picking acoustic guitar style.
;;;	Field Hollers 	Created by African-American slaves working on cotton plantations, featuring expressive vocals to no strict rhythm.
;;;	Fife and Drum Blues 	Rooted in martial Fife and Drum Corps music, originated among Afro-American communities in Mississippi.
;;;	Jug Band 	Usually features a jug as the bass instrument as well as other homemade (or easily affordable) instruments, such as kazoos and washboards.
;;;	Ring Shout 	Ritual practiced by African-Americans in the US South, characterized by shouting, chanting and people dancing in a circle while praying and clapping.
;;;	Sacred Harp Singing 	Predominantly 19th-century English hymns with tunes derived from old folk melodies.
;;;	Spirituals 	Predecessor to Gospel that began as unaccompanied singing by American slaves; shares some of the characteristics of Work Song.
;;;	Talking Blues 	American Folk Music with spoken or nearly spoken vocals; often features dry humor and social commentary.
;;;	Traditional Black Gospel 	Born out of Spirituals in the early 20th century with influence from Southern Gospel and Blues, often featuring passionate or energetic vocal performances, motifs of salvation, and testaments of hardship.
;;;	Traditional Cajun Music 	Earliest and most "pure" form of Cajun Music, employing basic rhythms and frequent fiddle double stops.
;;;	Traditional Country 	Closely aligned with American Folk Music and Blues roots, from country's inception in Appalachia and the American South until the popularity of Honky Tonk and Country Pop in the 1950s.
;;;;	Close Harmony 	Traditional two-part harmony singing performed mostly by brothers.
;;;;	Country Gospel 	Incorporates the harmonies and Christian themes of Gospel.
;;;;;	Bluegrass Gospel 	Incorporates the religious topics and harmony vocals found in Country Gospel.
;;;;	Country Yodeling 	Vocal technique of Yodeling, brought to the United States by German settlers, sung over the instrumentation of Traditional Country.
;;;;	Traditional Bluegrass 	Driving tempos, acoustic stringed instrumentation, and high vocal harmonies, adhering to the stylistic roots of the Bluegrass genre.
;;;;;	Bluegrass Gospel 	Incorporates the religious topics and harmony vocals found in Country Gospel.
;;	Arabic Folk Music 	Traditional Folk Music of the Arabic people.
;;;	Aita 	Arabic Folk Music from rural Morocco with piercing singing, scratchy viola, and rollicking hand drums.
;;;	Arabic Bellydance Music 	Accompaniment to traditional belly dances.
;;;;	Raqs baladi 	Egyptian folk dance and its associated musical accompaniment, appearing in the 20th century.
;;;	Ayyalah 	Traditional Khaliji-Bedouin weapon performance, commonly found across the United Arab Emirates and Northwestern Oman.
;;;	Fijiri 	Deeply rooted in the Persian Gulf pearl diving culture, and sung during weekly gatherings combining solo and choral sections with minimal percussion.
;;;	Liwa 	Traditional Khaliji performance with East African Music roots centered around the mizmar and traditional drums, typically sung in Khaliji Arabic and Swahili.
;;;	Nuban 	Traditional Afro-Emirati Folk performance of Nuban origin most commonly performed in the emirate of Dubai.
;;;	Sa'idi 	Traditional folkloric performance and form of Arabic Folk Music originating from Upper Egypt.
;;	Australian Folk Music 	Folk traditions of the European colonists and convicts in Australia.
;;	Bayawan 	Distinct muqam tradition of the Dolan subgroup of the Uyghur people, often considered the wildest of the regional muqam variations.
;;	Brazilian Folk Music 	Comprises the various traditions of folk music found in Brazil, often resulting from the interplay of Indigenous, African and European music.
;;;	Aboio 	Cattle-herding songs originating in rural Northeastern Brazil.
;;;;	Aboio cantado 	Aboio that features rhyming verses.
;;;	Banda de pífano 	Lively music played by bands consisting of two fifes and percussion.
;;;	Candomblé Music 	Music of the Afro-Brazilian Candomblé religion that influenced the secular Afoxé.
